AI,Random,AI2,Random2
17.98,14.37,18.31,13.99
23,8,15,20
19,6,18,6
17,6,19,20
19,19,17,8
19,17,23,23
15,22,20,6
20,22,17,6
24,16,15,23
19,6,24,17
18,6,22,12
17,20,12,8
20,10,21,23
13,6,16,24
18,7,17,15
17,12,21,19
15,9,14,7
19,6,21,22
22,17,19,6
9,6,22,19
21,12,19,7
18,6,20,22
18,17,19,22
24,19,16,18
20,19,22,7
13,14,13,6
22,18,17,8
24,23,16,6
18,7,24,9
20,7,18,15
23,6,18,11
14,20,25,17
16,25,13,6
17,23,18,12
22,24,14,6
22,19,9,23
18,7,14,23
14,21,9,17
15,17,22,6
21,13,16,11
16,21,19,18
17,17,13,6
15,15,15,22
21,6,16,17
16,17,17,7
19,15,18,11
17,23,18,9
19,21,20,21
15,15,16,6
23,16,21,21
21,12,13,22
16,22,11,20
19,19,24,15
15,7,20,16
15,18,14,16
20,15,23,18
13,16,16,18
15,16,14,15
18,6,23,24
13,8,16,20
17,24,23,9
23,24,15,19
13,19,20,22
16,15,20,16
15,22,23,8
13,19,15,17
15,12,19,6
19,23,20,10
20,18,16,12
16,8,21,6
15,14,23,19
18,20,16,8
16,22,18,7
21,20,14,24
17,20,19,8
23,8,24,18
19,20,23,20
16,18,14,23
18,21,16,23
20,7,15,9
18,6,22,7
21,9,22,15
22,7,15,12
9,6,20,6
25,16,17,17
18,14,21,7
20,13,16,7
17,7,23,6
17,7,15,6
15,19,22,6
23,20,20,22
19,12,23,23
19,6,17,18
17,6,22,25
19,8,22,15
21,7,23,16
17,9,20,14
15,15,21,13
24,21,20,6
17,17,21,10
9,15,13,6
